timestamp,iso_time,cpu_percent,ram_percent,gpu_percent
1762612759.7310789,2025-11-08T14:39:19.731079,0.0,58.5,0.0
1762613983.0920882,2025-11-08T14:59:43.092088,0.0,61.1,0.0
1762614009.562284,2025-11-08T15:00:09.562284,0.0,61.5,0.0
1762614692.083351,2025-11-08T15:11:32.083351,0.0,60.3,0.0
1762614694.80833,2025-11-08T15:11:34.808330,52.4,60.6,0.0
1762614696.0459337,2025-11-08T15:11:36.045934,19.8,60.6,0.0
1762614697.291952,2025-11-08T15:11:37.291952,13.4,60.6,0.0
1762614698.6645923,2025-11-08T15:11:38.664592,7.7,60.5,0.0
1762614699.936835,2025-11-08T15:11:39.936835,15.1,60.3,0.0
1762614701.1699326,2025-11-08T15:11:41.169933,17.5,60.3,0.0
1762614702.415682,2025-11-08T15:11:42.415682,15.8,60.1,0.0
1762614703.6959267,2025-11-08T15:11:43.695927,8.5,60.1,0.0
1762614704.938761,2025-11-08T15:11:44.938761,15.0,60.1,0.0
1762614706.1619442,2025-11-08T15:11:46.161944,19.8,60.1,0.0
1762614707.3911662,2025-11-08T15:11:47.391166,14.4,60.1,0.0
1762614708.6719365,2025-11-08T15:11:48.671937,7.9,60.1,0.0
1762614709.9376361,2025-11-08T15:11:49.937636,15.4,60.1,0.0
1762614711.1700885,2025-11-08T15:11:51.170089,19.0,60.1,0.0
1762614712.416352,2025-11-08T15:11:52.416352,15.4,60.1,0.0
1762614713.6764672,2025-11-08T15:11:53.676467,5.6,60.1,0.0
1762614714.9441483,2025-11-08T15:11:54.944148,15.1,60.1,0.0
1762614716.1752734,2025-11-08T15:11:56.175273,15.9,60.1,0.0
1762614717.420595,2025-11-08T15:11:57.420595,14.5,60.1,0.0
1762614718.6943831,2025-11-08T15:11:58.694383,7.6,60.1,0.0
1762614719.934409,2025-11-08T15:11:59.934409,15.5,60.1,0.0
1762614721.1706648,2025-11-08T15:12:01.170665,18.4,60.1,0.0
1762614722.4243646,2025-11-08T15:12:02.424365,15.9,60.1,0.0
1762614723.691205,2025-11-08T15:12:03.691205,7.7,60.1,0.0
1762614724.964025,2025-11-08T15:12:04.964025,15.6,60.1,0.0
1762614726.1977675,2025-11-08T15:12:06.197767,16.5,60.1,0.0
1762614727.4457395,2025-11-08T15:12:07.445740,15.3,60.1,0.0
1762614728.7172315,2025-11-08T15:12:08.717232,6.8,60.1,0.0
1762614729.9859343,2025-11-08T15:12:09.985934,17.1,60.1,0.0
1762614731.2070372,2025-11-08T15:12:11.207037,17.6,60.1,0.0
1762614732.455117,2025-11-08T15:12:12.455117,15.8,60.1,0.0
1762614733.7101321,2025-11-08T15:12:13.710132,5.9,60.1,0.0
1762614734.9607337,2025-11-08T15:12:14.960734,14.7,60.1,0.0
1762614736.1942136,2025-11-08T15:12:16.194214,17.7,60.1,0.0
1762614737.4218209,2025-11-08T15:12:17.421821,17.0,60.1,0.0
1762614738.670809,2025-11-08T15:12:18.670809,6.2,60.1,0.0
1762614739.9334152,2025-11-08T15:12:19.933415,14.6,60.1,0.0
1762614741.1636333,2025-11-08T15:12:21.163633,20.8,60.1,0.0
1762614742.4273138,2025-11-08T15:12:22.427314,20.4,60.0,0.0
1762614743.6695447,2025-11-08T15:12:23.669545,12.0,59.9,0.0
1762614745.1083388,2025-11-08T15:12:25.108339,10.1,60.0,0.0
1762614746.3578663,2025-11-08T15:12:26.357866,18.4,60.0,0.0
1762614747.5874941,2025-11-08T15:12:27.587494,15.6,60.0,0.0
1762614748.8373215,2025-11-08T15:12:28.837322,15.5,60.0,0.0
1762614750.088662,2025-11-08T15:12:30.088662,5.6,60.0,0.0
1762614751.3644764,2025-11-08T15:12:31.364476,18.4,60.0,0.0
1762614752.593707,2025-11-08T15:12:32.593707,15.3,59.9,0.0
1762614753.8431196,2025-11-08T15:12:33.843120,15.0,60.0,0.0
1762614755.1195323,2025-11-08T15:12:35.119532,5.5,59.9,0.0
1762614756.3908892,2025-11-08T15:12:36.390889,16.0,60.0,0.0
1762614757.611911,2025-11-08T15:12:37.611911,41.3,60.0,0.0
1762614758.8982606,2025-11-08T15:12:38.898261,89.4,60.1,0.0
1762614760.3026142,2025-11-08T15:12:40.302614,24.7,60.1,0.0
1762614761.5687878,2025-11-08T15:12:41.568788,17.8,60.1,0.0
1762614762.7987502,2025-11-08T15:12:42.798750,18.0,60.1,0.0
1762614764.029153,2025-11-08T15:12:44.029153,16.0,60.1,0.0
1762614765.3700206,2025-11-08T15:12:45.370021,34.8,61.5,0.0
1762614766.6402223,2025-11-08T15:12:46.640222,68.4,61.6,0.0
1762614768.152317,2025-11-08T15:12:48.152317,73.4,61.9,0.0
1762614770.2791207,2025-11-08T15:12:50.279121,92.1,62.4,0.0
1762614771.7645788,2025-11-08T15:12:51.764579,91.8,62.6,0.0
1762618676.9027984,2025-11-08T16:17:56.902798,88.8,60.6,0.0
1762618679.3896308,2025-11-08T16:17:59.389631,96.2,62.4,0.0
1762618682.7598138,2025-11-08T16:18:02.759814,100.0,62.4,0.0
1762618684.5038714,2025-11-08T16:18:04.503871,100.0,63.1,0.0
1762618686.7881532,2025-11-08T16:18:06.788153,100.0,63.2,0.0
1762618688.9955137,2025-11-08T16:18:08.995514,100.0,62.9,0.0
1762618690.4832604,2025-11-08T16:18:10.483260,100.0,63.1,0.0
1762618692.1358051,2025-11-08T16:18:12.135805,100.0,63.1,0.0
1762618694.1133156,2025-11-08T16:18:14.113316,100.0,62.8,0.0
1762618695.612343,2025-11-08T16:18:15.612343,100.0,63.2,0.0
1762618697.3715873,2025-11-08T16:18:17.371587,100.0,63.2,0.0
1762618699.7293563,2025-11-08T16:18:19.729356,100.0,63.0,0.0
1762618701.4070182,2025-11-08T16:18:21.407018,100.0,63.1,0.0
1762618703.1940527,2025-11-08T16:18:23.194053,100.0,63.1,0.0
1762618705.5820694,2025-11-08T16:18:25.582069,100.0,62.8,0.0
1762618707.1140034,2025-11-08T16:18:27.114003,100.0,62.8,0.0
1762618708.6876311,2025-11-08T16:18:28.687631,100.0,63.0,0.0
1762618710.2410886,2025-11-08T16:18:30.241089,100.0,63.0,0.0
1762618711.8765972,2025-11-08T16:18:31.876597,100.0,63.1,0.0
1762618713.7114012,2025-11-08T16:18:33.711401,77.8,63.2,0.0
1762618715.079706,2025-11-08T16:18:35.079706,35.9,63.2,0.0
1762618716.431485,2025-11-08T16:18:36.431485,14.4,63.3,0.0
1762618717.786405,2025-11-08T16:18:37.786405,17.3,63.4,0.0
1762618719.6607277,2025-11-08T16:18:39.660728,25.3,63.6,0.0
1762618721.0229344,2025-11-08T16:18:41.022934,30.2,63.8,0.0
1762618722.3863895,2025-11-08T16:18:42.386389,24.6,63.7,0.0
1762618723.7917495,2025-11-08T16:18:43.791749,23.7,63.9,0.0
1762618725.5715535,2025-11-08T16:18:45.571553,26.3,64.0,0.0
1762618726.9219513,2025-11-08T16:18:46.921951,46.4,64.0,0.0
1762618728.392284,2025-11-08T16:18:48.392284,50.6,64.5,0.0
1762618729.974665,2025-11-08T16:18:49.974665,66.3,65.2,0.0
1762618732.803321,2025-11-08T16:18:52.803321,91.7,64.7,0.0
1762618734.8707473,2025-11-08T16:18:54.870747,90.7,65.3,0.0
1762618736.7623682,2025-11-08T16:18:56.762368,70.0,65.2,0.0
1762618738.361734,2025-11-08T16:18:58.361734,87.7,65.9,0.0
1762618740.5203803,2025-11-08T16:19:00.520380,77.9,65.9,0.0
1762618742.5937603,2025-11-08T16:19:02.593760,93.6,66.2,0.0
1762618745.229599,2025-11-08T16:19:05.229599,85.6,66.6,0.0
1762618747.46404,2025-11-08T16:19:07.464040,58.1,66.3,0.0
1762618748.9876173,2025-11-08T16:19:08.987617,71.8,66.2,0.0
1762618750.911819,2025-11-08T16:19:10.911819,59.4,65.7,0.0
1762618752.3264966,2025-11-08T16:19:12.326497,58.2,65.2,0.0
1762618753.6546612,2025-11-08T16:19:13.654661,34.2,65.0,0.0
1762618755.2491636,2025-11-08T16:19:15.249164,22.7,64.9,0.0
1762618756.5806854,2025-11-08T16:19:16.580685,26.3,64.7,0.0
1762618757.9720664,2025-11-08T16:19:17.972066,46.3,64.7,0.0
1762618759.6633465,2025-11-08T16:19:19.663347,38.2,63.7,0.0
1762618761.0489385,2025-11-08T16:19:21.048939,54.7,63.7,0.0
1762618762.4009135,2025-11-08T16:19:22.400913,38.3,63.6,0.0
1762618763.935935,2025-11-08T16:19:23.935935,23.0,63.7,0.0
1762618765.2842653,2025-11-08T16:19:25.284265,47.7,63.7,0.0
1762618766.649538,2025-11-08T16:19:26.649538,33.2,63.8,0.0
1762618768.2041895,2025-11-08T16:19:28.204190,37.8,63.3,0.0
1762618770.0530999,2025-11-08T16:19:30.053100,26.5,63.5,0.0
1762618771.4011729,2025-11-08T16:19:31.401173,34.8,63.6,0.0
1762618772.737923,2025-11-08T16:19:32.737923,39.3,63.7,0.0
1762618774.2576933,2025-11-08T16:19:34.257693,45.2,64.3,0.0
1762618775.9062104,2025-11-08T16:19:35.906210,85.7,63.6,0.0
1762618777.5599122,2025-11-08T16:19:37.559912,51.1,63.8,0.0
1762618779.290574,2025-11-08T16:19:39.290574,31.4,63.8,0.0
1762618780.6215482,2025-11-08T16:19:40.621548,30.2,63.7,0.0
1762618781.9069877,2025-11-08T16:19:41.906988,28.2,63.7,0.0
1762618783.2139745,2025-11-08T16:19:43.213974,32.8,63.6,0.0
1762618784.517697,2025-11-08T16:19:44.517697,29.9,63.6,0.0
1762618785.9864264,2025-11-08T16:19:45.986426,79.4,63.8,0.0
1762618787.6858287,2025-11-08T16:19:47.685829,49.9,64.5,0.0
1762618789.0841866,2025-11-08T16:19:49.084187,56.8,64.5,0.0
1762618790.4733703,2025-11-08T16:19:50.473370,55.9,64.6,0.0
1762618792.2213428,2025-11-08T16:19:52.221343,57.6,65.8,0.0
1762618793.706866,2025-11-08T16:19:53.706866,71.5,65.0,0.0
1762618795.2109852,2025-11-08T16:19:55.210985,83.2,65.1,0.0
1762618797.1354012,2025-11-08T16:19:57.135401,61.6,64.6,0.0
1762618798.4832382,2025-11-08T16:19:58.483238,53.7,64.7,0.0
1762618799.7319655,2025-11-08T16:19:59.731966,35.4,64.6,0.0
1762618801.6982012,2025-11-08T16:20:01.698201,44.1,64.4,0.0
1762618803.0343258,2025-11-08T16:20:03.034326,55.9,64.3,0.0
1762618804.3237658,2025-11-08T16:20:04.323766,18.5,64.2,0.0
1762618805.720735,2025-11-08T16:20:05.720735,13.6,63.8,0.0
1762618807.0185456,2025-11-08T16:20:07.018546,21.0,63.6,0.0
1762618808.2919145,2025-11-08T16:20:08.291914,18.2,63.3,0.0
